seq,time_stamp,frame_id,px,py,pz,qx,qy,qz,qw
5263,1668779587403614896,base_link,0.12841935455799103,0.7663044333457947,2.2687675952911377,0.8708483321550388,0.33992046020152866,-0.16119600968907316,0.31637495093557677
5264,1668779587460626896,base_link,0.12832894921302795,0.7651074528694153,2.2665350437164307,0.9335660192882236,0.35790236938642767,-0.0188497185311202,0.002251605919969007
5265,1668779587514864896,base_link,0.12840332090854645,0.7654494643211365,2.2676634788513184,0.9334379286424391,0.3582496924651534,-0.01815396969377656,0.0046070168974392915
5266,1668779587570412896,base_link,0.12845216691493988,0.7653156518936157,2.2672646045684814,0.933422243723674,0.35827697734158687,-0.018620026171278843,0.0037171298362070854
5267,1668779587626173896,base_link,0.12848486006259918,0.7659773230552673,2.269148349761963,0.9334309949000326,0.35817511770363564,-0.019772809099107086,0.005118480072479014
5268,1668779587681771896,base_link,0.1284177154302597,0.7651950716972351,2.2669460773468018,0.9333775980174415,0.35833899346186016,-0.019635883207081768,0.0037225494771894537
5269,1668779587737345896,base_link,0.1283576339483261,0.7651878595352173,2.266894578933716,0.93351646769538,0.3580541081101524,-0.018306978109504855,0.00301906599495995
5270,1668779587792960896,base_link,0.12842035293579102,0.7651195526123047,2.2665436267852783,0.9332787028497813,0.3586077593098469,-0.018910660188240207,0.0058072972237912975
5271,1668779587848604896,base_link,0.128440260887146,0.7656840682029724,2.2681937217712402,0.9336065208642249,0.35768903607057345,-0.020654128018957475,0.0032900866976628414
5272,1668779587904146896,base_link,0.12847313284873962,0.7657680511474609,2.268570899963379,0.9334087398648551,0.3582418370256744,-0.019826770942804762,0.004220154304644375
5273,1668779587959929896,base_link,0.1283499300479889,0.7649148106575012,2.266071081161499,0.9335544960937184,0.35784442192395294,-0.020477351787299595,0.002012606492692558
5274,1668779588015559896,base_link,0.12789256870746613,0.7658002376556396,2.2672951221466064,0.8709604549415638,0.3396363064505734,-0.150289049433064,0.32169592302219585
5275,1668779588071235896,base_link,0.12834063172340393,0.7649792432785034,2.266092300415039,0.9335246389357,0.3579621554216922,-0.01966458136208802,0.002854474676917335
5276,1668779588126676896,base_link,0.12854436039924622,0.7661167979240417,2.2697091102600098,0.9332598100463532,0.35875688464986544,-0.016603057989323763,0.006630470116898853
5277,1668779588182334896,base_link,0.1284290850162506,0.764976978302002,2.266281843185425,0.9333649542622626,0.3584218453511945,-0.018695698621060172,0.003756831526604408
5278,1668779588293545896,base_link,0.12830546498298645,0.7653839588165283,2.2661404609680176,0.8702063627859993,0.33993817988248054,-0.16071493386014896,0.3183608488166788
5279,1668779588349419896,base_link,0.12838973104953766,0.7652948498725891,2.267240047454834,0.933545362918549,0.35789986606956886,-0.01982557987312,0.0027726563714192596
5280,1668779588460487896,base_link,0.1283898651599884,0.7651452422142029,2.266716480255127,0.9334376464931918,0.3582599351310516,-0.018030317980883746,0.00434587421055069
5281,1668779588516031896,base_link,0.1284809708595276,0.7657327651977539,2.2685861587524414,0.9333534621697741,0.3584463854893235,-0.018588472836912572,0.004687436711754946
5282,1668779588571711896,base_link,0.12840594351291656,0.7655197978019714,2.2678864002227783,0.9335244578563315,0.35793062170501594,-0.02016973754633845,0.0033073126878047023
5283,1668779588627287896,base_link,0.1283978372812271,0.7659847140312195,2.2680370807647705,0.8704211784396345,0.34005075574590077,-0.16085217075677216,0.317583114795535
